Material-ID,Chemical_Formula,Temp_critical
S-9886,Bi4Sr3Ca2.5Tm0.5Cu4O16.52,81
S-13074,Bi4Sr3Ca2.8Tm0.2Cu4O16.41,83
S-11297,Bi4Sr3Ca2.9Tm0.1Cu4O16.36,80
S-6264,Bi4Sr3Ca2Tm1Cu4O16.73,46.5
S-10159,Bi4Sr3Ca2Y1Cu4O16,43.5
S-8421,Bi4Sr3Ca3Cu4O16.25,83
S-3475,Bi4Sr4Ca0.5Tm1.5Cu4O16.91,1.5
S-4666,Bi4Sr4Ca1.5Tm0.5Cu4O16.5,84.3
S-6228,Bi4Sr4Ca1.8Tm0.2Cu4O16.38,83.9
S-12065,Bi4Sr4Ca1.9Tm0.1Cu4O16.28,83.9
S-6768,Bi4Sr4Ca1Tm1Cu4O16.67,37.7
S-7152,Bi4Sr4Ca2Cu4O16.25,82.4
S-12688,Bi4Sr4Ca3Cu4O16.29,81
S-14096,Bi4Te3,5.25
S-13693,Bi5Tl3,6.4
S-9854,Bi6S5O8,2.4
S-8483,Bi8Sr5Ca7Cu9O34.94,74.4
S-7578,Bi8Sr6Ca6Cu9O33.85,72.5
S-5733,Bi8Sr6Ca6Cu9O33.912,85
S-13008,Bi8Sr6Ca6Cu9O33.964,80
S-5657,Bi8Sr6Ca6Cu9O34,74.3
S-7161,Bi8Sr7Ca5Cu9O34.13,72.5
S-6557,Bi8Sr8Ca4Cu9O34.16,94.2
S-11188,Bi8Sr8Ca4Cu9O34.25,73.5
S-505,Br2,1.4
S-12234,C0.002N0.937Ta1,8.91
S-3767,C0.017N0.632Ta1,11.84
S-9760,C0.026N0.974Nb1,17.2
S-2456,C0.03Rh0.43Ta0.54,10
S-1250,C0.04Re0.96,1.98
S-10892,C0.148N0.638Ta1,12.01
S-13501,C0.198N0.747Ta1,10.74
S-7185,C0.1N0.9Nb1,8.5
S-8086,C0.25N0.75Nb0.85Ti0.15,17.8
S-8108,C0.28N0.76Nb1,16.4
S-6712,C0.2N0.8Nb0.8V0.2,5.5
S-2088,C0.35N0.65Nb1,17.8
S-1851,C0.42Mo1,2.8
S-1035,C0.46W0.54,9
S-16270,C0.47Sr2Ca0.35Y0.65Cu2.48O6.96,40
S-10093,C0.48Sr2Ca0.4Y0.6Cu2.46O6.97,41.1
S-6193,C0.51Sr2Ca0.5Y0.5Cu2.42O6.92,48.9
S-7098,C0.53Sr1.99Ca0.56Y0.45Cu2.39O6.94,54.2
S-2327,C0.54Sr2Ca0.6Y0.4Cu2.38O6.89,56.7
S-1498,C0.55Sr2.03Ca0.62Y0.35Cu2.35O6.79,60
S-1925,C0.55W0.45,8.1
S-4506,C0.571N0.271Ta1,10.92
S-7961,C0.57Sr2Ca0.7Y0.3Cu2.33O6.78,60.3
S-3006,C0.5Mo0.17Zr0.42,9.5
S-8911,C0.5Sr2.01Ca0.44Y0.55Cu2.44O6.94,45.5
S-1158,C0.64Mo1,8.45
S-9667,C0.681Mo1,12
S-2975,C0.69Mo1,12.1
S-1472,C0.6Mo4.8Si0.3,7.6
S-13258,C0.6Mo4.8Si3,7.6
S-11888,C0.6Pd1,1.3
S-1091,C0.72W0.28Si1,3.9
S-10643,C0.74W0.26Si1,3.3
S-6386,Mo0.95Hf0.05C0.75,14.2
S-13613,C0.75Mo1,14.7
S-5597,C0.78N0.22Th1,5.6
S-12062,C0.78W0.22Si1,2.9
S-10335,C0.7N0.3Sr2Cu1O5.35,35
S-5087,C0.7N0.3Sr2Cu1O5.45,31
S-16071,C0.7N0.3Sr2Cu1O5.55,31
S-8021,C0.7Nb0.3,6
S-4824,C0.848Ta1,2.04
S-2775,C0.8N0.2Sr2Cu1O5.3,33
S-1452,C0.8N0.2Sr2Cu1O5.35,31
S-1394,C0.8N0.2Sr2Cu1O5.45,31
S-14063,C0.93Nb1,6.5
S-786,C0.96Nb1,9.8
S-455,C0.97Ta1,11.84
S-8541,C0.984Nb1,9.8
S-10611,C0.985Nb1,12
S-2927,C0.987Ta1,9.7
S-11486,C0.98Nb1,11.72
S-14579,C0.99Nb1,10.6
S-7100,C0.9N0.1Sr2Cu1O5.35,13
S-4597,C0.9Nb1,5
S-11358,C0.9S0.1,36.5
S-1126,C1.35Ca0.1Y0.9,10.5
S-1814,C1.35Ge0.1Y0.9,10.6
S-10567,C1.35La1,11
S-4679,Y1.8Nb0.2C2.7,10.8
S-5279,Y1.8Ru0.2C2.7,11.2
S-3618,Y1.8Si0.2C2.7,11.3
S-6021,C1.35Sn0.1Y0.9,10.2
S-1884,Y1.8Ti0.2C2.7,10.7
S-2120,C1.35Y1,10
S-1325,C1.3La1,8.3
S-677,C1.45Cr0.1Y0.9,12.4
S-10392,C1.45La0.5Th0.5,14.2
S-8524,C1.45Mo0.1Y0.9,13.8
S-2822,C1.45Th1,4.1
S-3838,Y1.8V0.2C2.9,11.5
S-669,C1.45Y0.9Zn0.1,13
S-2797,C1.45Y1,11.5
S-9672,Y1.4Th0.6C3.1,17
S-12547,C1.55W0.1Y0.9,14.5
S-14401,C1.58La1,9.6
S-2667,C1.5Ge3La5,3.3
S-12565,C1.5La0.9Th0.1,12.9
S-14814,Y1.4Ti0.6C3,12.9
S-1424,C1.95Y1,3.86
S-10106,C13La1,4.8
S-1677,C1Ba3Ca3Cu5O13,111.5
S-1296,C1Ca3Cu2O7.1,47
S-7733,C1Fe3,1.3
S-3148,C1Ga1Mo2,3.9
S-8353,C1Hf0.15Mo0.85,9
S-5400,C1Hf0.25Mo0.75,6.6
S-2901,C1Hf0.25Nb0.75,7
S-8281,C1Hf0.3Mo0.7,5.5
S-15850,C1Hf0.4Nb0.6,5.6
S-1952,C1Hf0.5Mo0.5,3.4
S-390,C1Hf0.5Nb0.5,4.8
S-8709,C1Hf0.6Nb0.4,4.5
S-10388,C1Hf0.7Nb0.3,6.1
S-2986,C1Hf0.8Nb0.8,7.8
S-1801,C1Hf0.9Ta0.1,5
S-10966,C1Ir1Mo3,3.2
S-11158,C1Ir2Mo3,1.8
S-1321,C1Ir2W3,2.1
S-432,C1K1,0.55
S-1723,Ta0.8Mo0.2C1,8
S-5516,C1Mo0.5Ta0.5,7.7
S-12179,C1Mo0.75Ta0.25,8.5
S-5318,C1Mo0.83Ti0.17,10.2
S-4882,C1Mo0.85Ta0.15,8.9
S-331,C1Mo0.8Ta0.2,9.6
S-4066,C1Mo0.9Re0.1,13.85
S-2336,Mo0.9Ru0.1C1,13.65
S-5492,C1Mo2,5.24
S-7525,C1Mo3Pt2,1.1
S-284,C1Nb0.1Zr0.9,4.2
S-7602,Nb0.4Ta0.6C1,8.77
S-3697,C1Nb0.6W0.4,12.5
S-8407,C1Nb1,9.8
S-11051,C1Os2W3,2.9
S-10353,C1Pt2W3,1.2
S-14802,C1Re0.01W1,1.3
S-15830,C1Re0.06W1,5
S-684,C1Rh1,2.5
S-10009,C1Ru1,2.02
S-12117,C1Ta0.2Zr0.8,4.6
S-9955,C1Ta0.45W0.55,10.5
S-4041,C1Ta0.4Ti0.6,4.8
S-10578,C1Ta0.5W0.5,10.1
S-4730,C1Ta1,8.6
S-1485,C1Ta2,3.26
S-1716,C1Tc1,3.85
S-11409,Ti0.5W0.5C1,6.7
S-11803,C1W2,3.6
S-9005,C2La1,1.64
S-9624,C2Li1,1.9
S-10760,C2Lu1,3.33
S-6749,C2Mo1Re1,3.8
S-2181,C0.4Mo0.6,9.2
S-13595,C2Na1,5
S-4261,C2Re1W1,3.8
S-9551,C2Y1,3.89
S-3666,Th1.9Er0.1C3,6.8
S-9078,C3Er0.2Th1.8,8.2
S-5771,Th1.6Er0.4C3,8.2
S-2658,C3Er0.6Th1.4,8.1
S-537,Th1.2Er0.8C3,7
S-1837,C3Er1Th1,4.6
S-1102,Th1.8Ho0.2C3,5.4
S-358,C3Ho0.4Th1.6,5.5
S-2443,Th1.4Ho0.6C3,5.2
S-2826,C3La2,10.66
S-5650,C3Na1,2.3
S-8317,Th0.6Sc1.4C3,5.4
S-12042,C3Y2,14.89
S-1228,C60Ca5,8.4
S-14508,K3C60,17.93
S-3861,C60Rb2,29
S-14758,C60Rb4,29
S-7095,C60Sr4,4.4
S-9173,C60Tb2.75,5.4
S-12361,C60Yb2.75,5.8
S-13856,C60Yb3.5,6
S-6232,C6Ca1,11.37
S-11106,C6Ca1H,10
S-13712,C6I4O2,0.8
S-7572,C6Ir4O2,2
S-1613,C6Sr1,1.65
S-9269,C6Yb1,6.5
S-10722,C8.1K1,0.152
S-12329,C8Cs1,0.135
S-2014,C8K1,0.39
S-13671,C8K1H0.19,0.22
S-2399,C8Rb1,0.02
S-1662,Ca0.1Ba1.65La1.25Cu3O6.98,8
S-11291,Ca0.1Ba1.65La1.25Cu3O7.01,19.5
S-8283,Ca0.1Ba1.65La1.25Cu3O7.02,26.4
S-310,Ca0.1Ba1.65La1.25Cu3O7.03,29.9
S-10866,Ca0.1Ba1.65La1.25Cu3O7.08,45.9
S-8197,Ca0.1La1.15Ba1.75Cu3O7.148,57.1
S-1936,Ca0.1La1.25Ba1.65Cu3O6.985,5
S-7552,Ca0.1Ba1.65La1.25Cu3O7.06,39.57
S-729,Ca0.1O3W1,1.4
S-10399,Ca0.25Na0.75Fe2As2,33.4
S-1977,Ca0.27Sr0.63Cu1O2,110
S-2094,Ca0.285Sr0.665Cu1O2,110
S-213,Ca0.2Ba1.55La1.25Cu3O6.98,10.4
S-8879,Ca0.2Ba1.55La1.25Cu3O6.99,14.4
S-13553,Ca0.2Ba1.55La1.25Cu3O7.01,25.1
S-4694,Ca0.2Ba1.55La1.25Cu3O7.03,34.7
S-9076,Ca0.2Ba1.55La1.25Cu3O7.05,41.1
S-809,Ca0.2Ba1.55La1.25Cu3O7.07,46.1
S-10027,Ca0.2Ba1.55La1.25Cu3O7.11,59.7
S-1531,Ca0.2Ba1.55La1.25Cu3O7.159,68.7
S-13447,Ca0.2Mo1S2,3.6
S-3688,Ca0.31Sr0.7Ti1O3,0.1
S-2679,Ca0.32Na0.68Fe2As2,33
S-5064,Ca0.33Na0.66Fe2As2,33
S-1019,Ca0.34Na0.66Fe2As2,34
S-9826,Ca0.3Ba1.45La1.25Cu3O6.96,9.6
S-12830,Ca0.3Ba1.45La1.25Cu3O7,28.3
S-10218,Ca0.3Ba1.45La1.25Cu3O7.05,46.4
S-4317,La1.25Ca0.3Ba1.45Cu3O7.11,66.2
S-2695,Ca0.3Ba1.45La1.25Cu3O7.12,69.3
S-976,Ca0.3Ba1.45La1.25Cu3O7.172,76.9
S-1882,Ca0.3Nd0.7Ba1La1Cu3O7.24,14.3
S-680,Ca0.4Ba1.15La1.45Cu3O7.12,7.6
S-11418,Ca0.4Ba1.15La1.45Cu3O7.21,43.9
S-13311,Ca0.4Ba1.15La1.45Cu3O7.23,52.8
S-1201,Ca0.4Ba1.25La1.35Cu3O7.04,21.3
S-2410,Ca0.4Ba1.25La1.35Cu3O7.11,47.1
S-5277,Ca0.4Ba1.25La1.35Cu3O7.16,63.5
S-1849,Ca0.4Ba1.25La1.35Cu3O7.19,72.9
S-6994,Ca0.4Ba1.35La1.25Cu3O6.9,5
S-1728,Ca0.4Ba1.35La1.25Cu3O6.92,14.4
S-7581,Ca0.4Ba1.35La1.25Cu3O6.95,24.8
S-11304,Ca0.4Ba1.35La1.25Cu3O7.08,68.6
S-2244,Ca0.4Ba1.35La1.25Cu3O7.15,79.4
S-9052,Ca0.4La1.25Ba1.35Cu3O6.99,38
S-13075,Ca0.4La1.25Ba1.35Cu3O7.055,57
S-74,Ca0.4La1.25Ba1.35Cu3O7.135,76
S-5199,Ca0.4Na0.6Fe2As2,25
S-7527,Ca0.4Nd0.6Ba1La1Cu3O7.19,21.9
S-16024,Ca0.4Nd0.6Fe1As1F1,54
S-13233,Ca0.4Pr0.6Fe1As1F1,50
S-9478,Ca0.5Fe2Se2,40
S-4638,Ca0.5Na0.5Fe2As2,19.72
S-15834,Ca0.5Nd0.5Ba1La1Cu3O7.17,41.4
S-5982,Ca0.64Na0.36Fe2As2,17
S-159,Ca0.67Pt3B2,1.57
S-6560,Ca0.67Sr0.33Fe2As2,22
S-15007,Ca0.6Mo1S2,4
S-14981,Ca0.6Na0.4Fe2As2,21
S-9912,Ca0.6Nd0.4Ba1La1Cu3O7.1,48.6
S-8463,Ca0.719La0.281Fe2As2,31.7
S-6357,Ca0.75K0.25Cu1Cl2O2,24
S-9953,Ca0.75La0.25Fe1As2,0
S-4213,Ca0.76Ce0.24Fe1As1.8Sb0.2,43
S-10371,Ca0.76Pr0.24Fe1As0.9Sb0.1,43
S-11151,Ca0.77La0.23Fe1As1.99P0.01,28
S-4755,Ca0.78Ce0.22Fe2As2,36.2
S-14132,Ca0.78La0.22Fe1As2,21.9
S-13194,Ca0.7La0.3Fe1As1H1,35.7
S-15598,Ca0.7Nd0.3Ba1La1Cu3O7.04,73.8
S-5186,Ca0.81Ce0.19Fe1As2,0
S-7295,Ca0.81La0.19Fe1As2,30.03
S-9810,Ca0.81Nd0.19Fe1As1.98Sb0.02,24
S-601,Ca0.81Nd0.19Fe1As2,11
S-389,Ca0.82La0.18Fe1As1.99P0.01,39
S-15141,Ca0.82Pr0.18Fe1As1.98Sb0.02,26
S-8329,Ca0.835La0.165Fe2As2,41.2
S-6555,Ca0.84Ce0.16Fe1As1.98Sb0.02,21
S-8677,Ca0.84La0.16Fe1As1.99P0.01,41
S-15111,Ca0.84La0.16Fe1As2,34
S-1975,Ca0.84Nd0.16Fe1As0.9Sb0.1,43
S-15002,Ca0.857La0.143Fe2As2,44
S-4245,Ca0.858Pr0.142Fe2As2,45.3
S-3318,Ca0.85Ce0.15Ba1La1Cu3O7.07,52.4
S-3444,Ca0.85Eu0.15Fe1As2,12.2
S-6569,Ca0.85Gd0.15Fe1As2,19.5
S-12631,Ca0.85K0.15Cu1Cl2O2,24
S-8330,Ca0.85La0.15Fe1As1.98Sb0.02,43
S-10738,Ca0.85Nd0.15Fe1As2,14
S-14588,Ca0.85Pr0.15Fe1As2,21
S-15107,Ca0.85Sm0.15Fe1As2,17.6
S-9851,Ca0.86Pr0.14Fe2As2,32.5
S-1517,Ca0.875Pr0.125Fe2As2,49
S-2771,Ca0.88Ce0.12Fe2As2,33.2
S-12321,Ca0.88La0.12Fe1As1.8Sb0.2,47.2
S-13935,Ca0.891La0.109Fe2As2,45.4
S-409,Ca0.8La0.2Fe0.9558Co0.0442As2,35.1
S-2128,Ca0.8La0.2Fe0.9671Co0.0329As2,36.5
S-13563,Ca0.8La0.2Fe0.978Co0.022As2,37.8
S-12729,Ca0.8La0.2Fe1As1H1,40.6
S-5388,Ca0.8La0.2Fe2As2,40
S-11083,Ca0.8Nd0.2Ba1La1Cu3O6.99,73.8
S-8918,Ca0.8Pr0.2Fe1As2,10
S-6385,Ca0.902Pr0.098Fe2As2,40
S-7932,Ca0.906Nd0.094Fe2As2,19.3
S-11044,Ca0.923Nd0.077Fe2As2,41.8
S-16018,Ca0.92La0.08Fe8.6Pd4.2As18,13.5
S-14624,Ca0.941Pr0.059Fe2As2,28.9
S-12553,Ca0.95Ce0.05Ba1La1Cu3O6.91,64.8
S-14470,Ca0.9Ce0.1Ba1La1Cu3O7.02,60.5
S-12858,Ca0.9La0.1Fe1As1H1,28.2
S-11504,Ca0.9La0.1Fe1As2,34
S-13763,Ca0.9Nd0.1Ba1La1Cu3O6.87,73.8
S-14087,Ca0.9Pr0.1Fe1.3As1.8O0.2,20
S-10582,Ca0.9Pr0.1Fe1As2,20
S-14888,Ca1.5Na0.5Cu1Cl2O2,28.5
S-6292,Ca1.65Na0.35Cu1Br1Cl1O2,24
S-7214,Ca1.65Na0.35Cu1Br2O2,18
S-3214,Ca1.65Na0.35Cu1Cl2O2,28
S-2804,Ca1.6Na0.4Cu1Cl2O2,27.8
S-7773,Ca1.702Cu0.851Cl1.851Na0.149O2.404,15
S-9044,Ca1.737Cu0.868Cl1.868Na0.132O2.263,21
S-8565,Ca1.75Na0.25Cu1Br1Cl1O2,19
S-4001,Ca1.75Na0.25Cu1Br2O2,18
S-7643,Ca1.75Na0.25Cu1Cl2O2,26.5
S-7110,Ca1.76Na0.24Cu1Cl2O2,26.9
S-5442,Ca1.7K0.3Cu1Cl2O2,24
S-12774,Ca1.7Na0.3Cu1Br1Cl1O2,23.5
S-16110,Ca1.7Na0.3Cu1Br2O2,16.5
S-9307,Ca1.7Na0.3Cu1Cl2O2,27.6
S-11648,Ca1.808Cu0.904Cl1.904Na0.096O2.192,26
S-13320,Ca1.81Na0.19Cu1Cl2O2,27.7
S-12966,Ca1.825Na0.175Cu1Br1Cl1O2,23
S-11588,Ca1.825Na0.175Cu1Br2O2,10.5
S-9011,Ca1.825Na0.175Cu1Cl2O2,26
S-13690,Ca1.82Na0.18Cu1Cl2O2,27.06
S-6363,Ca1.843Na0.157Cu1Cl2O2,25
S-6144,Ca1.84Na0.16Cu1Cl2O2,19.7
S-15561,Ca1.85Cu1Cl2O2,30
S-5145,Ca1.85Na0.15Cu1Br1Cl1O2,19
S-14750,Ca1.85Na0.15Cu1Br2O2,10
S-14980,Ca1.85Na0.15Cu1Cl2O2,24.48
S-11305,Ca1.867Na0.133Cu1Cl2O2,20
S-12790,Ca1.875Na0.125Cu1Br1Cl1O2,15
S-12715,Ca1.883Cu0.941Cl1.941Na0.059O2.117,26
S-2693,Ca1.89Na0.11Cu1Cl2O2,15.14
S-5954,Ca1.8Cu1Cl2O2,41
S-8944,Ca1.8K0.2Cu1Cl2O2,24
S-6573,Ca1.8Na0.2Cu1Br1Cl1O2,19
S-3956,Ca1.8Na0.2Cu1Br2O2,11
S-13031,Ca1.8Na0.2Cu1Cl2O2,26.95
S-14705,Ca1.9Cu1Cl2O2,15
S-664,Ca1.9K0.1Cu1Cl2O2,18
S-4207,Ca10Bi9.88,2.075
S-13352,Ca10Fe8.2Pt4.8As18,38
S-8617,Ca10Fe9.2Pt3.8As18,13
S-949,Ca10Ir4Fe10As18,16.68
S-16050,Ca10Pt0.78Fe9.22As18,9.96
S-10806,Ca10Pt3.213Fe9.787As18,4.3
S-9229,Ca10Pt3.28Fe9.72As18,6
S-2016,Ca10Pt3.33Fe9.67As18,0
S-1628,Ca10Pt3.41Fe9.59As18,7.38
S-15042,Ca10Pt3.42Fe9.58As18,9.87
S-15084,Ca10Pt3.474Fe9.526As18,11.85
S-2620,Ca10Pt3.51Fe9.49As18,12.44
S-10001,Ca10Pt3.53Fe9.47As18,15.8
S-14055,Ca10Pt3.617Fe9.383As18,13.6
S-3814,Ca10Pt3.72Fe9.28As18,14.9
S-3871,Ca10Pt3.97Fe9.03As18,10.75
S-6017,Ca10Pt3.981Fe9.019As18,7.49
S-7611,Ca10Pt4.054Fe9.7As18,26.5
S-14783,Ca10Pt4.05Fe8.95As18,13
S-13302,Ca10Pt4.1Fe9.9As18,32.2
S-1969,Ca10Pt4.2Fe9.8As18,30
S-10384,Ca10Pt4.3Fe9.7As18,30.45
S-562,Ca10Pt4.6Fe9.4As18,22.5
S-14246,Ca10Pt4.8Fe9.2As18,13.7
S-8927,Ca10Pt4Fe10As18,36.5
S-9566,Ca10Pt5.8Fe8.2As18,33.65
S-15332,Ca10Pt5Fe9As18,9.78
S-16350,Ca14Cu24O40.93,8
S-6657,Ca1Al0.1Ga0.9Si1,3.34
S-9204,Ca1Al0.2Ga0.8Si1,3.24
S-10630,Ca1Al0.3Ga0.7Si1,3
S-11996,Ca1Al0.4Ga0.6Si1,3.45
S-902,Ca1Al0.5Ga0.5Si1,3.73
S-16334,Ca1Al0.6Ga0.4Si1,4.51
S-8331,Ca1Al0.74Si1.26,2.46
S-977,Ca1Al0.7Ga0.3Si1,4.78
S-3832,Ca1Al0.8Ga0.2Si1,5.6
S-12433,Ca1Al0.8Si1.2,4.05
S-2145,Ca1Al0.9Ga0.1Si1,6.54
S-6635,Ca1Al0.9Si1.1,5.57
S-6568,Ca1Al1.1Si0.9,6.63
S-9795,Ca1Al1.25Si0.75,4.4
S-12481,Ca1Al1.2Si0.8,5.21
S-15835,Ca1Al1.3Si0.7,4.5
S-5999,Ca1Al1.4Si0.6,4.6
S-11681,Ca1Al1Si1,6.57
S-14877,Ca1B1.05Pd3,0.8
S-11255,Ca1B1.25Pd3,1
S-9293,Ca1Ba1La1Cu3O6.85,76
S-202,Ca1Ba1La1Cu3O6.97,64
S-14661,Ca1Cs1Fe4As4,31.6
S-4911,Ca1Cu0.25Si1.55,2.9
S-1765,Ca1Cu0.25Si1.6,3
S-10520,Ca1Cu0.25Si1.7,3.2
S-9985,Ca1Cu0.25Si1.75,3.1
S-9447,Ca1Cu0.33Si1.67,2.3
S-2170,Ca1Fe0.74Co0.26As1F1,3.49
S-14435,Ca1Fe0.74Co0.26As1H1,8.95
S-16224,Ca1Fe0.78Co0.22As1H1,13.3
S-1636,Ca1Fe0.83Co0.17As1H1,19
S-7462,Ca1Fe0.85Co0.15As1F1,20.8
S-11267,Ca1Fe0.85Ni0.15As1F1,8.72
S-16208,Ca1Fe0.85Rh0.15As1F1,18.4
S-10197,Ca1Fe0.88Co0.12As1H1,23.2
S-2040,Ca1Fe0.8Co0.2As1F1,16.5
S-1535,Ca1Fe0.8Ni0.2As1F1,3.92
S-1938,Ca1Fe0.91Co0.09As1H1,22.7
S-5133,Ca1Fe0.92Rh0.08As1F1,22.2
S-3479,Ca1Fe0.93Co0.07As1H1,23
S-4469,Ca1Fe0.93Co0.07F1,9.1
S-12970,Ca1Fe0.95Rh0.05As1F1,3.81
S-12367,Ca1Fe0.9Co0.1As1F1,22.93
S-4148,Ca1Fe0.9Ni0.1As1F1,15.4
S-4131,Ca1Fe1.6Co0.4As2,2
S-8010,Ca1Fe1.73Co0.27As2,12
S-10558,Ca1Fe1.75Co0.25As2,14.1
S-4087,Ca1Fe1.7Co0.3As2,10.8
S-8060,Ca1Fe1.82Co0.18As2,15.7
S-15716,Ca1Fe1.854Co0.146As2,16.8
S-3694,Ca1Fe1.85Co0.15As2,15.2
S-3159,Ca1Fe1.874Co0.126As2,14.8
S-3238,Ca1Fe1.87Co0.13As2,17.2
S-11399,Ca1Fe1.888Co0.112As2,17.75
S-4596,Ca1Fe1.898Co0.102As2,19.2
S-14233,Ca1Fe1.8Co0.2As2,17.1
S-6396,Ca1Fe1.922Co0.078As2,21.2
S-1572,Ca1Fe1.92Co0.08As2,20.4
S-5515,Ca1Fe1.94Co0.06As2,15.3
S-4098,Ca1Fe1.94Ni0.06As2,15
S-14198,Ca1Fe1.9Co0.1As2,17.7
S-245,Ca1Fe2.94Co0.06As2,17
S-10880,Ca1Fe2As1.925P0.075,13
S-12235,Ca1Ga0.74Si1.26,3.5
S-3528,Ca1Ga1Si1,4.25
S-11558,Ca1Ge3,6.8
S-12467,Ca1Hg1,1.6
S-38,Ca1Hg3,1.6
S-2366,Ca1Hg5,1.7
S-7535,Ca1Ir1Si3,3.3
S-15357,Ca1Ir2,5.32
S-1488,Ca1K1Fe4As4,35.07
S-14716,Ca1La1Ba1Cu2.76Fe0.24O7,22
S-14731,Ca1La1Ba1Cu2.85Zn0.045O7,55
S-9271,Ca1La1Ba1Cu2.88Fe0.12O7,28
S-9873,Ca1La1Ba1Cu2.88Zn0.12O7,14
S-15223,Ca1La1Ba1Cu2.8P0.2O7,90
S-9221,Ca1La1Ba1Cu2.91Zn0.09O7,20
S-14267,Ca1La1Ba1Cu2.94Fe0.06O7,44
S-12844,Ca1La1Ba1Cu2.97Fe0.03O7,49
S-9690,Ca1La1Ba1Cu2.97Zn0.03O7,60
S-6677,Ca1Li2,13
S-8384,Ca1Ni1B1N1,2.08
S-3427,Ca1Pb1,7
S-13450,Ca1Pb3,0.65
S-11366,Ca1Pd2As2,1.27
S-9184,Ca1Pt1Si3,2.3
S-5106,Ca1Pt3P1,6.6
S-8055,Ca1Rb1Fe4As4,35.63
S-12051,Ca1Rh1.2Sn4.5,8.7
S-12652,Ca1Rh2,5.78
S-7028,Ca1Si1.9,1.35
S-529,Ca1Si2.2,1.37
S-8549,Ca1Si3,4.25
S-5846,Ca1Tl0.75Pb2.25,3.68
S-15273,Ca1Tl1.8Pb1.2,2.8
S-3156,Ca1Tl2.4Pb0.6,3.18
S-10917,Ca1Tl3,2.04
S-11139,Ca2.5Co0.5Rh4Sn13,6.41
S-14308,Ca2.8Co0.2Rh4Sn13,7.73
S-9770,Ca24Al28O66,0.195
S-12017,Ca2Al2.39Si4.61,5.4
S-9291,Ca2Al2.73Si4.27,6.4
S-11623,Ca2Al3Si4,6.2
S-5583,Ca2Cu1Cl2.18O2,24
S-524,Ca2Cu1Cl2.25O2,31
S-7000,Ca2Cu1Cl2.2O2,30
S-13911,Ca2Cu1Cl2.3O2,36
S-10936,Ca2Cu1Cl2.4O2,38
S-840,Ca2Cu1Cl2.5O2,38
S-11177,Ca2In1N1,0.6
S-5077,Ca2Nb1O4,8.9
S-7892,Ca2Pt3Si5,1.3
S-15480,Ca3Al2Fe2As2O5,30.2
S-5864,Ca3Al2Fe2P2O5,16.6
S-13373,Ca3Co4Ge13,5.9
S-11115,Ca3Co4Sn13,5.75
S-14945,Ca3Ir4Ge13,1.7
S-4815,Ca3Ir4Ge4,1.7
S-4708,Ca3Ir4Sn13,6.94
S-7553,Ca3Rh4Ge13,2.1
S-1933,Ca3Rh4Sn13,7.6
S-2242,Ca3Rh8B2,4
S-15991,Ca4Al2Fe2As2O5.65,26.8
S-16351,Ca4Al2Fe2As2O5.785,27
S-9554,Ca4Al2Fe2As2O6,27.5
S-1554,Ca4Al2Fe2P2O5.8,17
S-2931,Ca4Al2Fe2P2O6,16.85
S-10912,Ca4Rh6Pb19,3.3
S-14407,Ca5.84Sr4.02Bi0.14Cu15.84O29,72
S-8249,Ca5.9Sr3.5Bi0.3Y0.1Pb0.1Al0.1Cu15.1O29,75
S-12723,Ca6.85Pr3.15Pt3Fe10As18,20.5
S-11349,Ca7.16Ce2.84Pt3Fe10As18,18.9
S-3223,Ca7.62La2.38Pt3Fe10As18,26
S-5365,Ca7.65Nd2.35Pt3Fe10As18,18.9
S-10244,Ca8.03Pr1.97Pt3Fe10As18,25
S-6329,Ca8.18La1.82Pt3Fe10As18,22.1
S-8441,Ca8.32Ce1.68Pt3Fe10As18,30.4
S-13866,Ca8.38Ce1.62Pt3Fe10As18,30.5
S-14722,Ca8.41Nd1.59Pt3Fe10As18,28.1
S-9320,Ca8.44La1.56Pt3Fe10As18,32.3
S-5173,Ca8.45Sm1.55Pt3Fe10As18,28
S-5652,Ca8.48Pr1.52Pt3Fe10As18,31.8
S-14227,Ca8.55La1.45Pt3Fe10As18,26.1
S-6508,Ca8.6La1.4Pt3Fe10As18,34.5
S-4027,Ca8.77Nd1.23Pt3Fe10As18,28.4
S-1240,Ca8.77Pr1.23Pt3Fe10As18,26.9
S-5862,Ca8.85La1.15Pt3Fe10As18,35.1
S-11576,Ca8.87La1.13Pt3Fe10As18,32.8
S-10235,Ca8La2Pt3.3Fe9.7As18,29.4
S-4579,Ca8Mg1.5Ti4.5Fe2As2O9.5,40
S-10753,Ca9.06Gd0.94Pt3Fe10As18,25
S-10526,Ca9.07La0.93Pt3Fe10As18,22.2
S-6659,Ca9.16Tb0.84Pt3Fe10As18,23.7
S-15637,Ca9.26Ce0.74Pt3Fe10As18,22.6
S-14938,Ca9.29Sm0.71Pt3Fe10As18,26.2
S-1791,Ca9.35Dy0.65Pt3Fe10As18,20.9
S-10102,Ca9.35La0.65Pt3Fe10As18,19.7
S-385,Ca9.39Pr0.61Pt3Fe10As18,19.5
S-15447,Ca9.57La0.43Pt3Fe10As18,13.3
S-15995,Ca9.58Y0.42Pt3Fe10As18,18.6
S-13798,Ca9.5Yb0.5Pt3Fe10As18,11.6
S-9781,Ca9.68Ho0.32Pt3Fe10As18,19.5
